Date,Ticker,Action,Price,Shares_Traded,Position_Shares_Remaining_After_Trade
2025-05-05,VRSK,Initial Short,294.32745361328125,3,3
2025-05-06,AMRX,Stop-Loss Sell,7.170000076293945,2,0
2025-05-06,EQNR,Initial Buy,22.90471076965332,3,3
2025-05-06,JJSF,Stop-Loss Sell,118.9,3,0
2025-05-06,SKM,Initial Buy,21.790000915527344,3,3
2025-05-07,ATHM,Stop-Loss Sell,25.81999969482422,2,0
2025-05-07,BZUN,PT3 Sell,3.16,1,0
2025-05-07,MAA,Initial Short,164.82000732421875,3,3
2025-05-08,IIPR,Stop-Loss Buy,57.05,3,0
2025-05-08,IR,Initial Short,79.21096801757812,3,3
2025-05-08,PBR,Initial Buy,11.32837963104248,3,3
2025-05-08,TAP,Stop-Loss Sell,52.88,3,0
2025-05-09,FN,Initial Short,202.6199951171875,3,3
2025-05-09,RES,Initial Buy,4.769999980926514,3,3
2025-05-12,NVDA,Initial Short,122.99146270751952,3,3
2025-05-12,SKM,Stop-Loss Sell,20.01,3,0
2025-05-13,PAYX,Initial Short,151.25999450683594,3,3
2025-05-14,ALB,Initial Short,60.684078216552734,3,3
2025-05-14,CAG,Stop-Loss Sell,22.475,3,0
2025-05-14,FN,Stop-Loss Buy,229.84,3,0
2025-05-14,NVDA,Stop-Loss Buy,131.975,3,0
2025-05-14,SPRY,PT1 Buy,12.47,1,2
2025-05-14,TARS,Initial Buy,42.900001525878906,3,3
2025-05-15,LOW,Initial Short,232.4499969482422,3,3
2025-05-15,RTX,Stop-Loss Buy,134.95,3,0
2025-05-16,EZPW,Initial Buy,13.960000038146973,3,3
2025-05-16,MNST,Stop-Loss Buy,62.865,3,0
2025-05-16,TER,Initial Short,82.60430145263672,3,3
2025-05-16,ZM,Stop-Loss Buy,84.61,3,0
2025-05-19,D,Initial Buy,55.52817535400391,3,3
2025-05-19,LIN,Stop-Loss Buy,459.72,3,0
2025-05-19,NXPI,Initial Short,210.3600006103516,3,3
2025-05-20,SPRY,Stop-Loss Buy,14.380000114440918,2,0
2025-05-22,ALB,PT1 Buy,55.79,1,2
2025-05-22,VRSK,Stop-Loss Buy,314.645,3,0
2025-05-23,BRO,Initial Short,110.81999969482422,3,3
2025-05-23,NXPI,PT1 Buy,190.29,1,2
2025-05-28,EDU,Initial Buy,47.36000061035156,3,3
2025-05-28,MMM,Initial Short,148.66000366210938,3,3
2025-05-28,NCNO,Initial Short,26.780000686645508,3,3
2025-05-29,NCNO,Stop-Loss Buy,28.885,3,0
2025-05-29,THC,PT3 Sell,169.835,1,0
2025-06-02,SEG,Initial Short,19.850000381469727,3,3
2025-06-03,ILMN,Initial Short,81.83000183105469,3,3
2025-06-03,SXC,Initial Buy,8.229999542236328,3,3
2025-06-04,AON,Initial Short,372.6199951171875,3,3
2025-06-04,NXPI,Stop-Loss Buy,210.3600006103516,2,0
2025-06-04,UGP,Initial Buy,2.900000095367432,3,3
2025-06-05,ALB,Stop-Loss Buy,60.684078216552734,2,0
2025-06-10,APPF,Stop-Loss Buy,224.1999969482422,2,0
2025-06-10,ILMN,Stop-Loss Buy,87.85,3,0
2025-06-10,TER,Stop-Loss Buy,88.185,3,0
2025-06-13,EQNR,PT1 Sell,26.525,1,2
2025-06-16,ADM,PT1 Sell,53.84,1,2
2025-06-16,PBR,PT1 Sell,12.965,1,2
2025-06-17,PANW,Stop-Loss Buy,201.625,3,0
2025-06-17,RES,PT1 Sell,5.255,1,2
2025-06-18,CLX,PT1 Buy,121.3,1,2
